clause_id,policy_id,policy_number,insurance_type,section_type,page_number,clause_text
lc-001,POL-LIFE-TERM,LT-2023-001,LIFE,MAIN_POLICY,4,"On the death of the Life Insured during the policy term, the Sum Assured shall be paid to the nominated beneficiary, provided the policy is in force and all due premiums have been paid."
lc-002,POL-LIFE-TERM,LT-2023-001,LIFE,EXCLUSIONS,11,Death due to suicide within 12 months from the date of risk commencement or the date of revival shall not be covered. 80% of the premiums paid shall be returned to the nominee.
lc-003,POL-LIFE-TERM,LT-2023-001,LIFE,MAIN_POLICY,5,A grace period of 30 days is available for payment of annual premiums. The policy shall be in force during the grace period. Death during the grace period is payable after deduction of overdue premium.
lc-004,POL-LIFE-TERM,LT-2023-001,LIFE,WAITING_PERIODS,8,A free look period of 30 days is available from the date of receipt of the policy document to review the terms and conditions. The policy may be returned during this period for a full refund.
lc-005,POL-LIFE-TERM,LT-2023-001,LIFE,EXCLUSIONS,12,"Death due to participation in hazardous activities including skydiving, bungee jumping, and motor racing is excluded unless a hazardous activity rider premium has been paid."
lc-006,POL-LIFE-TERM,LT-2023-001,LIFE,MAIN_POLICY,6,"For maturity benefit claims, the Sum Assured plus accrued bonuses shall be payable to the policyholder on the maturity date, provided the policy is in full force and all premiums are paid."
lc-007,POL-LIFE-TERM,LT-2023-001,LIFE,MAIN_POLICY,7,"The nominee must submit a death certificate issued by a competent authority, a completed claim form, and the original policy bond within 90 days of the date of death."
lc-008,POL-LIFE-TERM,LT-2023-001,LIFE,EXCLUSIONS,13,"Death directly or indirectly caused by, contributed to, or aggravated by involvement in any unlawful act or criminal offence by the life insured is excluded from coverage."
lc-009,POL-LIFE-TERM,LT-2023-001,LIFE,MAIN_POLICY,8,Revival of a lapsed policy is permitted within 5 years of the date of first unpaid premium. Revival requires payment of all outstanding premiums with interest and submission of a satisfactory health declaration.
lc-010,POL-LIFE-TERM,LT-2023-001,LIFE,MAIN_POLICY,9,"Critical Illness Accelerated Benefit: On diagnosis of a listed critical illness, 50% of the Sum Assured is paid immediately as an advance. The remaining 50% is payable on death of the life insured."
lc-011,POL-LIFE-TERM,LT-2023-001,LIFE,EXCLUSIONS,14,"Death caused by war, civil war, invasion, or act of foreign enemy, whether war is declared or not, is excluded from all coverage under this policy."
lc-012,POL-LIFE-TERM,LT-2023-001,LIFE,MAIN_POLICY,10,"Accidental death benefit rider: In case of death due to an accident, an additional Sum Assured equal to the base policy Sum Assured is payable in addition to the basic death benefit."
lc-013,POL-LIFE-TERM,LT-2023-001,LIFE,WAITING_PERIODS,9,"For death claims occurring within the first 3 years of policy inception, the insurer reserves the right to investigate the cause of death and may request additional medical evidence."
lc-014,POL-LIFE-TERM,LT-2023-001,LIFE,MAIN_POLICY,11,Loan against policy: Policyholders may avail a loan up to 90% of the surrender value after 3 policy years. Interest is charged at 9% per annum and must be cleared before claim settlement.
lc-015,POL-LIFE-TERM,LT-2023-001,LIFE,EXCLUSIONS,15,"Death caused directly or indirectly by participation in any riot, civil commotion, or active military service is excluded unless specific war risk cover has been endorsed."
lc-016,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,4,Endowment policy maturity benefit: The Sum Assured plus bonus additions accrued over the policy term is payable on survival of the life insured to the maturity date.
lc-017,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,5,"Money-back policy: Survival benefits of 20% of Sum Assured are payable every 5 years during the policy term. The residual Sum Assured plus bonus is payable on maturity or death, whichever is earlier."
lc-018,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,6,"Premium waiver rider: All future premiums are waived off in case of permanent total disability of the policyholder due to accident, and the policy continues in force until maturity."
lc-019,POL-LIFE-ENDOW,LT-2022-001,LIFE,EXCLUSIONS,10,Misrepresentation or suppression of material facts including pre-existing health conditions at the time of proposal will render the policy void and claims will be repudiated.
lc-020,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,7,ULIP policies: Fund value at NAV on date of death claim or maturity is payable. Fund switching is allowed 12 times per year at no cost. Fund management charges must not exceed 1.35% per annum.
lc-021,POL-LIFE-ENDOW,LT-2022-001,LIFE,WAITING_PERIODS,8,"For ULIP policies, a lock-in period of 5 years from policy inception applies. Partial withdrawal before 5 years is not permitted. After 5 years, up to 25% of fund value can be withdrawn annually."
lc-022,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,8,"Surrender value: Policies with 3 or more years of premiums paid are entitled to a guaranteed surrender value of 30% of total premiums paid, excluding first year premium and any additional premiums."
lc-023,POL-LIFE-ENDOW,LT-2022-001,LIFE,EXCLUSIONS,11,"Death of the life insured while under the influence of narcotics, drugs, or alcohol as evidenced by blood report is excluded from life coverage."
lc-024,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,9,"Terminal illness benefit: If the life insured is diagnosed with a terminal illness with life expectancy of less than 12 months, 50% of Sum Assured is payable immediately as an advance death benefit."
lc-025,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,10,"Child education plan rider: On death of the proposer, future premiums are waived and the child receives the stipulated education sum at ages 18, 20, and 22 years irrespective of survival of the insured."
lc-026,POL-LIFE-ENDOW,LT-2022-001,LIFE,EXCLUSIONS,12,Death within 45 days of policy commencement due to any illness (not accident) shall not be covered under term plans. Accidental death is covered from day one.
lc-027,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,11,Nomination: The policyholder must nominate a beneficiary in the proposal form. Nomination may be changed at any time before a claim arises by submitting a nomination change form to the insurer.
lc-028,POL-LIFE-ENDOW,LT-2022-001,LIFE,WAITING_PERIODS,9,Early claim investigation: Claims arising within 2 years of policy commencement or revival are subject to thorough investigation including medical examination of past health records and attending physician statements.
lc-029,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,12,"Group life insurance: In case of employer-employee group plans, the master policyholder is the employer. Certificates of insurance are issued to each member. Claim settlement is routed through the employer."
lc-030,POL-LIFE-ENDOW,LT-2022-001,LIFE,EXCLUSIONS,13,Death by self-inflicted injury other than suicide (such as self-harm not resulting in death) that permanently disables the insured is not covered under the permanent disability rider.
lc-031,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,13,The policyholder may assign the policy to a bank or financial institution as collateral for a home loan. The assignee has priority in claim settlement over the nominee during the assignment period.
lc-032,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,14,"Claim documents required for death benefit: Death certificate, claimant's statement, original policy bond, attending physician's certificate, FIR or post-mortem report in case of unnatural death."
lc-033,POL-LIFE-ENDOW,LT-2022-001,LIFE,WAITING_PERIODS,10,"Medical underwriting: Applications for Sum Assured above INR 50,00,000 require a medical examination including full blood count, lipid profile, ECG, and physician's statement."
lc-034,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,15,"Double accident benefit rider: In case of accidental death, double the Sum Assured is payable. In case of permanent total disability due to accident, the Sum Assured equivalent is payable as lump sum."
lc-035,POL-LIFE-ENDOW,LT-2022-001,LIFE,EXCLUSIONS,14,HIV/AIDS and any condition directly attributable to HIV infection is excluded from death and critical illness coverage unless specifically covered under a special rider with additional premium.
