clause_id,policy_id,policy_number,insurance_type,section_type,page_number,clause_text
hmr-001,POL-HOME-COMP,HO-2023-001,HOME,MAIN_POLICY,3,"The structure of the building including foundations, walls, floors, roof, and permanent fixtures is covered against loss or damage caused by fire, lightning, explosion, riot, storm, flood, and earthquake."
hmr-002,POL-HOME-COMP,HO-2023-001,HOME,EXCLUSIONS,8,"Damage due to gradual deterioration, wear and tear, rust, corrosion, or any gradually operating cause is excluded from this policy."
hmr-003,POL-HOME-COMP,HO-2023-001,HOME,EXCLUSIONS,9,Loss or damage caused by subsidence of land or landslip is not covered unless specifically endorsed on this policy by payment of additional premium.
hmr-004,POL-HOME-COMP,HO-2023-001,HOME,SUB_LIMITS,14,The maximum liability under theft of contents shall not exceed 25% of the contents sum insured in any one policy year. Jewellery and valuable items need a separate floater policy.
hmr-005,POL-HOME-COMP,HO-2023-001,HOME,MAIN_POLICY,5,"In the event of total loss, the settlement shall be on reinstatement value basis for structures and market value basis for contents, unless reinstatement basis is specifically opted at inception."
hmr-006,POL-HOME-COMP,HO-2023-001,HOME,EXCLUSIONS,10,Loss or damage occurring when the building is unoccupied for more than 30 consecutive days is excluded unless the insurer has been notified and an endorsement has been issued.
hmr-007,POL-HOME-COMP,HO-2023-001,HOME,MAIN_POLICY,6,"Public liability cover of INR 5,00,000 is included to cover the policyholder's legal liability for bodily injury or property damage to third parties occurring at the insured premises."
hmr-008,POL-HOME-COMP,HO-2023-001,HOME,SUB_LIMITS,15,"Contents cover for electronic equipment including televisions, computers, and home appliances is subject to 50% depreciation for items more than 5 years old."
hmr-009,POL-HOME-COMP,HO-2023-001,HOME,EXCLUSIONS,11,Loss or damage caused by domestic animals or pets belonging to the insured or members of the household is excluded from contents and structure coverage.
hmr-010,POL-HOME-COMP,HO-2023-001,HOME,MAIN_POLICY,7,"Alternative accommodation expenses up to INR 10,000 per month and up to 12 months are covered if the insured property is rendered uninhabitable due to an insured peril."
hmr-011,POL-HOME-COMP,HO-2023-001,HOME,MAIN_POLICY,8,"Jewellery, gold ornaments, and precious stones are covered for theft, fire, and natural calamity up to INR 2,00,000 per item and INR 5,00,000 in aggregate per policy year."
hmr-012,POL-HOME-COMP,HO-2023-001,HOME,EXCLUSIONS,12,Theft or burglary occurring without evidence of forcible entry or without a filed police report within 24 hours of discovery is excluded from coverage.
hmr-013,POL-HOME-COMP,HO-2023-001,HOME,SUB_LIMITS,16,"Loss of rent income due to rendering of premises uninhabitable is covered up to 10% of the sum insured per year, for a maximum period of 12 months per incident."
hmr-014,POL-HOME-COMP,HO-2023-001,HOME,MAIN_POLICY,9,"Earthquake cover is included for Zone III, IV, and V as per the seismic zoning map of India. Properties in Zone I and II require a specific earthquake endorsement for coverage."
hmr-015,POL-HOME-COMP,HO-2023-001,HOME,EXCLUSIONS,13,Flood damage is excluded for properties located in a designated flood plain or river bed zone unless a specific flood endorsement has been obtained after insurer survey and inspection.
hmr-016,POL-HOME-COMP,HO-2023-001,HOME,MAIN_POLICY,10,"Home emergency services cover: Plumber, electrician, locksmith, and glazier emergency call-out charges up to INR 3,000 per call and INR 15,000 per year are reimbursed."
hmr-017,POL-HOME-COMP,HO-2023-001,HOME,MAIN_POLICY,11,"Solar panel installation on the roof is covered under the structure policy for damage due to storm, hail, lightning, and fire. Inverter and battery bank are covered as contents."
hmr-018,POL-HOME-COMP,HO-2023-001,HOME,EXCLUSIONS,14,"Loss or damage arising from faulty design, construction defects, or failure of waterproofing or damp proofing is excluded and must be remedied by the builder under defect liability provisions."
hmr-019,POL-HOME-COMP,HO-2023-001,HOME,SUB_LIMITS,17,"Fine art, collectibles, antiques, and rare items are covered up to their insured value only if a schedule of items with individual valuations is submitted at inception."
hmr-020,POL-HOME-COMP,HO-2023-001,HOME,MAIN_POLICY,12,Cyclone damage in coastal districts of Andhra Pradesh: A special excess of 2% of the sum insured applies to all cyclone claims in the coastal belt of 5 km from the sea.
hmr-021,POL-HOME-COMP,HO-2023-001,HOME,EXCLUSIONS,15,"Damage or loss of property under a lease, mortgage, or hypothecation where the insured's interest has been transferred or suspended is excluded from claim settlement."
hmr-022,POL-HOME-COMP,HO-2023-001,HOME,MAIN_POLICY,13,"Reinstatement value clause: Where reinstatement is opted, the insurer will pay the cost of restoring the property to its original condition with like materials. Betterment is not covered."
hmr-023,POL-HOME-COMP,HO-2023-001,HOME,SUB_LIMITS,18,Generator and inverter sets permanently installed at the premises are covered as part of the structure sum insured. Portable generators are covered under contents at 50% of purchase value.
hmr-024,POL-HOME-COMP,HO-2023-001,HOME,EXCLUSIONS,16,"Loss or damage caused by a change in the water table, ground heave, or soil movement is excluded unless it results directly from the action of a named storm or flood peril."
hmr-025,POL-HOME-COMP,HO-2023-001,HOME,MAIN_POLICY,14,"The insured must take all reasonable precautions to safeguard the property and prevent loss. Failure to secure windows, doors, and locks before leaving the premises may reduce claim payable by 25%."
hmr-026,POL-HOME-COMP,HO-2023-001,HOME,MAIN_POLICY,15,"Claim process: Damage must be reported within 48 hours. Loss adjustor inspection must occur before any repairs. Three quotes must be submitted for repair work above INR 50,000."
hmr-027,POL-HOME-COMP,HO-2023-001,HOME,EXCLUSIONS,17,"Damage to boundary walls, gates, fences, and outhouses is excluded unless these are specifically included in the policy schedule and valued separately."
hmr-028,POL-HOME-COMP,HO-2023-001,HOME,SUB_LIMITS,19,"Water damage from pipe burst or tank overflow is covered up to INR 1,00,000 per incident for a single-family dwelling. Damage to flooring below the waterline in multi-floor buildings requires endorsement."
hmr-029,POL-HOME-COMP,HO-2023-001,HOME,MAIN_POLICY,16,Professional fees for architects and surveyors incurred in rebuilding or repairing an insured property following a valid claim are reimbursed up to 5% of the claim settlement amount.
hmr-030,POL-HOME-COMP,HO-2023-001,HOME,EXCLUSIONS,18,Loss of business or livelihood arising from the property being uninhabitable due to an insured peril is not covered under this policy. A separate business interruption policy is required.
