clause_id,policy_id,policy_number,insurance_type,section_type,page_number,clause_text
cr-001,POL-CROP-PMFBY,CR-2024-001,CROP,MAIN_POLICY,3,"Coverage is provided for yield loss due to non-preventable risks including natural fire, lightning, storm, hailstorm, cyclone, typhoon, flood, inundation, landslide, drought, dry spells, and pest or disease attacks."
cr-002,POL-CROP-PMFBY,CR-2024-001,CROP,MAIN_POLICY,4,"For localized calamity claims, the affected farmer must report the damage to the insurance company, concerned bank, or agriculture department within 72 hours of occurrence. Late reporting reduces settlement."
cr-003,POL-CROP-PMFBY,CR-2024-001,CROP,EXCLUSIONS,8,"Damage caused to crops due to war, nuclear activity, and wilful negligence by the farmer including non-adherence to recommended agricultural practices is excluded from coverage."
cr-004,POL-CROP-PMFBY,CR-2024-001,CROP,MAIN_POLICY,5,The sum insured per hectare shall be the scale of finance as fixed by the District Level Technical Committee for the respective crop and season.
cr-005,POL-CROP-PMFBY,CR-2024-001,CROP,WAITING_PERIODS,9,Claims for standing crop loss shall be assessed based on Crop Cutting Experiments (CCE) conducted by the State Government through the Revenue Department. CCE results are final and binding.
cr-006,POL-CROP-PMFBY,CR-2024-001,CROP,MAIN_POLICY,6,"Post-harvest losses: Coverage extends to losses occurring within 14 days of harvesting for crops left to dry in the field in cut-and-spread condition, due to cyclone, unseasonal rain, or hailstorm."
cr-007,POL-CROP-PMFBY,CR-2024-001,CROP,MAIN_POLICY,7,"Prevented sowing or planting risk: If more than 75% of the insured area in a notified unit suffers failed sowing due to rainfall deficiency or adverse weather, 25% of sum insured is payable."
cr-008,POL-CROP-PMFBY,CR-2024-001,CROP,EXCLUSIONS,9,"Crops damaged due to trespassing livestock, theft, or malicious damage by third parties are excluded. Farmer must file a police complaint within 24 hours for theft-related crop losses."
cr-009,POL-CROP-PMFBY,CR-2024-001,CROP,MAIN_POLICY,8,"Premium subsidy: The farmer's share of premium is capped at 2% for Kharif food and oilseed crops, 1.5% for Rabi food and oilseed crops, and 5% for commercial and horticultural crops."
cr-010,POL-CROP-PMFBY,CR-2024-001,CROP,MAIN_POLICY,9,Loanee farmers: All loanee farmers availing seasonal agricultural operations loans for notified crops in notified areas are mandatorily enrolled under PMFBY. Premium is automatically deducted from loan account.
cr-011,POL-CROP-PMFBY,CR-2024-001,CROP,EXCLUSIONS,10,"Perennial crops including coconut, cashew, and mango orchards are not covered under standard PMFBY. Separate crop insurance schemes exist for plantation and horticultural crops."
cr-012,POL-CROP-PMFBY,CR-2024-001,CROP,MAIN_POLICY,10,"Mid-season adversity cover: If expected yield at the end of season is less than 50% of normal yield due to widespread calamity, an on-account payment of 25% of likely claim is made to registered farmers."
cr-013,POL-CROP-PMFBY,CR-2024-001,CROP,MAIN_POLICY,11,Technology-based assessment: Remote sensing and drone technology shall be used for crop loss assessment as directed by the State Government. CCE data will be cross-referenced with satellite imagery.
cr-014,POL-CROP-PMFBY,CR-2024-001,CROP,EXCLUSIONS,11,"Damage to crops in areas where the farmer has applied excessive pesticide or fertiliser beyond the recommended dose, leading to chemical burn, is excluded from coverage."
cr-015,POL-CROP-PMFBY,CR-2024-001,CROP,MAIN_POLICY,12,"Individual farm-level assessment for localized calamities: Hailstorm, landslide, inundation, and cloud burst are assessed at individual farm level using physical verification and loss assessment form."
cr-016,POL-CROP-PMFBY,CR-2024-001,CROP,WAITING_PERIODS,10,"State Government notification of crop, area, season, and insurance unit must be issued at least 15 days before the cut-off date for enrolment. Late notification affects farmer enrolment eligibility."
cr-017,POL-CROP-PMFBY,CR-2024-001,CROP,MAIN_POLICY,13,Claim settlement timeline: Claims must be settled within 45 days from the finalisation of CCE yield data by the State Government. Delay beyond 45 days attracts 12% per annum interest payable to the farmer.
cr-018,POL-CROP-PMFBY,CR-2024-001,CROP,EXCLUSIONS,12,Voluntary non-cultivation of the insured crop without valid reason after enrolment will result in cancellation of the insurance contract and forfeiture of premium paid.
cr-019,POL-CROP-PMFBY,CR-2024-001,CROP,MAIN_POLICY,14,"Non-loanee farmers may enrol voluntarily by submitting a declaration of sowing certificate, Aadhaar card, and passbook at the designated Common Service Centre before the cutoff date."
cr-020,POL-CROP-PMFBY,CR-2024-001,CROP,MAIN_POLICY,15,Indemnity calculation: Claims are settled based on the formula: (Threshold yield - Actual yield) / Threshold yield x Sum Insured. Threshold yield is the 7-year moving average of CCE data for the notified unit.
cr-021,POL-CROP-PMFBY,CR-2024-001,CROP,EXCLUSIONS,13,Losses due to the farmer's failure to report sowing by submitting the Crop Sowing Certificate to the bank or CSC within the prescribed date will render the claim inadmissible.
cr-022,POL-CROP-PMFBY,CR-2024-001,CROP,MAIN_POLICY,16,"Andhra Pradesh PMFBY: Crops notified for Kharif 2024 include Paddy, Cotton, Groundnut, Maize, Red Gram, Black Gram, and Green Gram across all 25 districts of Andhra Pradesh."
cr-023,POL-CROP-PMFBY,CR-2024-001,CROP,MAIN_POLICY,17,Grievance redressal: Farmers may file complaints at the district-level grievance committee. Complaints not resolved within 30 days are escalated to the State Steering Committee.
cr-024,POL-CROP-PMFBY,CR-2024-001,CROP,EXCLUSIONS,14,Loss of stored produce after harvesting and transportation from the field is excluded. Only standing crop and cut-and-spread crop within 14 days post-harvest are eligible for coverage.
cr-025,POL-CROP-PMFBY,CR-2024-001,CROP,MAIN_POLICY,18,Crop insurance benefit under PMFBY is directly credited to the farmer's Aadhaar-linked bank account within 2 days of approval. Farmers without Aadhaar linkage may receive payment by cheque.
