clause_id,policy_id,policy_number,insurance_type,section_type,page_number,clause_text
hc-001,POL-HEALTH-GOLD,HG-2023-001,HEALTH,MAIN_POLICY,5,In-patient hospitalisation expenses are covered when the insured person requires admission for a minimum period of 24 consecutive hours for medical treatment at a registered hospital.
hc-002,POL-HEALTH-GOLD,HG-2023-001,HEALTH,WAITING_PERIODS,8,An initial waiting period of 30 days from the policy inception date applies to all hospitalisation claims. This waiting period does not apply to claims arising from accidental bodily injury.
hc-003,POL-HEALTH-GOLD,HG-2023-001,HEALTH,WAITING_PERIODS,9,Pre-existing diseases as defined in this policy shall be covered only after completion of 48 continuous months of uninterrupted policy coverage from the date of inception.
hc-004,POL-HEALTH-GOLD,HG-2023-001,HEALTH,EXCLUSIONS,14,"Cosmetic or aesthetic treatment and plastic surgery is excluded unless necessitated by accidental injury, burns, or a malignant disease. Circumcision unless necessitated by disease is not covered."
hc-005,POL-HEALTH-GOLD,HG-2023-001,HEALTH,EXCLUSIONS,15,"Dental treatment or surgery of any kind including crowns, bridges, and orthodontics is excluded unless requiring hospitalisation due to accidental injury."
hc-006,POL-HEALTH-GOLD,HG-2023-001,HEALTH,SUB_LIMITS,22,"Cataract surgery: Maximum benefit of INR 50,000 per eye per policy year. Knee arthroplasty (total or partial): Maximum benefit of INR 1,50,000 per episode."
hc-007,POL-HEALTH-GOLD,HG-2023-001,HEALTH,SUB_LIMITS,23,"Coronary artery bypass surgery (CABG): Maximum benefit of INR 3,00,000. Hip replacement: Maximum benefit of INR 1,50,000 per episode. Liver transplant: Maximum benefit of INR 5,00,000."
hc-008,POL-HEALTH-GOLD,HG-2023-001,HEALTH,CO_PAYMENT,18,A co-payment of 20% of the admissible claim amount applies where the primary insured member has attained the age of 60 years at the time of hospitalisation.
hc-009,POL-HEALTH-GOLD,HG-2023-001,HEALTH,MAIN_POLICY,6,"Room, boarding, and nursing expenses are covered up to 1% of the sum insured per day for standard room. If a higher category room is occupied, all associated charges shall be reduced proportionately."
hc-010,POL-HEALTH-GOLD,HG-2023-001,HEALTH,MAIN_POLICY,7,"Pre-hospitalisation expenses incurred up to 30 days before admission and post-hospitalisation expenses incurred up to 60 days after discharge are covered, subject to admissibility of the main claim."
